,세종-1인당 개인소득(단위 천원),세종-주택가격지수(2017.11월 기준),세종-인구(단위 명)
2003,0.0,0.0,0.0
2004,0.0,0.0,0.0
2005,0.0,0.0,0.0
2006,0.0,0.0,0.0
2007,0.0,0.0,0.0
2008,0.0,0.0,0.0
2009,0.0,0.0,0.0
2010,0.0,0.0,0.0
2011,0.0,0.0,0.0
2012,0.0,15.17,113117.0
2013,0.0,94.37,122153.0
2014,0.0,95.46,156125.0
2015,0.0,95.19,210884.0
2016,21000.0,95.5,243048.0
2017,21404.0,98.18,280100.0
2018,20990.0,101.33,314126.0
2019,19789.0,101.07,340575.0
2020,,,355831.0
