,num,ADAM,ADAMAX,RMSPROP,SGD
0,1,0.2792268395423889,0.30539485812187195,0.2677144408226013,0.3291466236114502
1,2,0.2779640555381775,0.3161458373069763,0.2668595314025879,0.349029541015625
2,3,0.3225906193256378,0.34121501445770264,0.2783352732658386,0.33900079131126404
3,4,0.27344101667404175,0.3279973864555359,0.25878557562828064,0.32802850008010864
4,5,0.2841264605522156,0.3905876576900482,0.25718680024147034,0.35368621349334717
5,6,0.26861074566841125,0.33306455612182617,0.29752516746520996,0.33616718649864197
6,7,0.33425530791282654,0.303145170211792,0.30309414863586426,0.3364407420158386
7,8,0.2865457534790039,0.3222954273223877,0.276814728975296,0.306551069021225
8,9,0.28299450874328613,0.2924690842628479,0.28630247712135315,0.3114313781261444
9,10,0.3118925392627716,0.348773717880249,0.2656964659690857,0.3292236328125
10,11,0.26113930344581604,0.31023547053337097,0.31228339672088623,0.33567750453948975
11,12,0.26863619685173035,0.31004810333251953,0.32054224610328674,0.31155121326446533
12,13,0.2907969653606415,0.2924511432647705,0.27280303835868835,0.31202611327171326
13,14,0.28436610102653503,0.3139224648475647,0.30249640345573425,0.3105405271053314
14,15,0.31366094946861267,0.2893470227718353,0.28069812059402466,0.336304634809494
15,16,0.27372774481773376,0.3077127933502197,0.33978626132011414,0.3069240152835846
16,17,0.28021857142448425,0.3375614881515503,0.2731698751449585,0.35991859436035156
17,18,0.3322888910770416,0.30518272519111633,0.322386771440506,0.33648690581321716
18,19,0.3011060655117035,0.32227423787117004,0.3152536451816559,0.3287946283817291
19,20,0.2841106355190277,0.31272003054618835,0.26306071877479553,0.31938436627388
20,21,0.29103565216064453,0.32910609245300293,0.2553912103176117,0.31046441197395325
21,22,0.296881765127182,0.3273465633392334,0.29726383090019226,0.3209577202796936
22,23,0.2766716480255127,0.3097746968269348,0.28827574849128723,0.3072570562362671
23,24,0.27585282921791077,0.27218151092529297,0.28985992074012756,0.3356788158416748
24,25,0.27517619729042053,0.34622642397880554,0.2853509485721588,0.30823656916618347
25,26,0.3025698959827423,0.45162084698677063,0.3247043192386627,0.3397045135498047
26,27,0.25950342416763306,0.32680103182792664,0.33368217945098877,0.2940439283847809
27,28,0.2852906286716461,0.3263292908668518,0.294201523065567,0.3225446939468384
28,29,0.30265793204307556,0.3123030662536621,0.2891039550304413,0.31812500953674316
29,30,0.2907038629055023,0.3327750861644745,0.2864898443222046,0.3798793852329254
30,31,0.2843329906463623,0.38094499707221985,0.2884099781513214,0.3005874752998352
31,32,0.2865104675292969,0.3041112422943115,0.2692493796348572,0.32625478506088257
32,33,0.2922544777393341,0.2972557842731476,0.2454487830400467,0.31159549951553345
33,34,0.2902226448059082,0.31878286600112915,0.2782043218612671,0.3171888589859009
34,35,0.27271172404289246,0.31915825605392456,0.298482209444046,0.3025253713130951
35,36,0.32327088713645935,0.3243902027606964,0.279139906167984,0.31251123547554016
36,37,0.32312604784965515,0.29624542593955994,0.2828165292739868,0.3553977310657501
37,38,0.2954629361629486,0.3322751522064209,0.27240821719169617,0.3065758943557739
38,39,0.27714553475379944,0.3440198302268982,0.2745766341686249,0.3246905207633972
39,40,0.2604541480541229,0.2960050106048584,0.27878203988075256,0.3277737498283386
40,41,0.25391796231269836,0.30902308225631714,0.25014054775238037,0.33830615878105164
41,42,0.22192254662513733,0.3062545955181122,0.23899614810943604,0.2799663841724396
42,43,0.24808071553707123,0.3605969548225403,0.28370094299316406,0.3521038293838501
43,44,0.2889159321784973,0.3371920585632324,0.30675071477890015,0.3048219084739685
44,45,0.25622591376304626,0.2952347993850708,0.29225486516952515,0.3674777150154114
45,46,0.2939979135990143,0.3516060709953308,0.31702107191085815,0.3756764233112335
46,47,0.26035431027412415,0.48261746764183044,0.2774040997028351,0.38012897968292236
47,48,0.3216346502304077,0.3309484124183655,0.3050629198551178,0.32267504930496216
48,49,0.30272069573402405,0.33837178349494934,0.30571943521499634,0.32822510600090027
49,50,0.3012940287590027,0.3126024007797241,0.29630047082901,0.33416640758514404
50,51,0.30240747332572937,0.340836763381958,0.2784257233142853,0.30509477853775024
51,52,0.2814845144748688,0.34721839427948,0.28985679149627686,0.3278234899044037
52,53,0.26365602016448975,0.35346052050590515,0.3190009593963623,0.3218740224838257
53,54,0.2722892761230469,0.31391119956970215,0.2992423474788666,0.31753620505332947
54,55,0.2866153419017792,0.3488726019859314,0.30787307024002075,0.356560617685318
55,56,0.2857682704925537,0.3042139708995819,0.2419552356004715,0.32081449031829834
56,57,0.30436670780181885,0.3201233446598053,0.25560227036476135,0.3275885581970215
57,58,0.29323479533195496,0.2856326699256897,0.25479328632354736,0.3264024555683136
58,59,0.27773794531822205,0.32146766781806946,0.2854827046394348,0.38305792212486267
59,60,0.2542514204978943,0.31593963503837585,0.27155348658561707,0.2934531271457672
