,num,MAE,MSE,MAPE
0,1,0.37261828780174255,0.3688092827796936,1.275714635848999
1,2,0.362529456615448,0.3518693447113037,1.2759170532226562
2,3,0.35159993171691895,0.34623265266418457,1.276944637298584
3,4,0.3649181127548218,0.3558025658130646,1.2757148742675781
4,5,0.36008939146995544,0.36008936166763306,1.27571439743042
5,6,0.3284267783164978,0.32651597261428833,1.258691430091858
6,7,0.3270762860774994,0.3617061376571655,1.275795578956604
7,8,0.3087802529335022,0.3595399856567383,1.2761260271072388
8,9,0.36368292570114136,0.38020649552345276,1.2755327224731445
9,10,0.35157766938209534,0.33880752325057983,1.2757251262664795
10,11,0.3760645091533661,0.36280557513237,1.2767277956008911
11,12,0.400840699672699,0.35271644592285156,1.2756117582321167
12,13,0.330506831407547,0.3584837019443512,1.2757506370544434
13,14,0.3370719254016876,0.3256467580795288,1.2756850719451904
14,15,0.37207403779029846,0.3599777817726135,1.2758264541625977
15,16,0.3495936095714569,0.33818161487579346,1.275499939918518
16,17,0.35885727405548096,0.3346092104911804,1.275720238685608
17,18,0.3403192460536957,0.36122119426727295,1.2749525308609009
18,19,0.3240699768066406,0.35529154539108276,1.275743007659912
19,20,0.3262910544872284,0.32896295189857483,1.2756487131118774
20,21,0.3141900599002838,0.31741592288017273,1.2754052877426147
21,22,0.3187587261199951,0.2950759828090668,1.2756681442260742
22,23,0.34892627596855164,0.365371972322464,1.2757421731948853
23,24,0.36278411746025085,0.3330926299095154,1.2757731676101685
24,25,0.4040300250053406,0.3594798743724823,1.275621771812439
25,26,0.3351423442363739,0.3313180208206177,1.2753206491470337
26,27,0.35240888595581055,0.35331326723098755,1.275376319885254
27,28,0.33317968249320984,0.332038551568985,1.2757235765457153
28,29,0.3200310170650482,0.3501746654510498,1.2734376192092896
29,30,0.30903592705726624,0.3532707095146179,1.2740447521209717
30,31,0.3279474377632141,0.3748738169670105,1.2780941724777222
31,32,0.3482350707054138,0.34122899174690247,1.275413155555725
32,33,0.3301098942756653,0.3850596249103546,1.2678232192993164
33,34,0.3197208046913147,0.3611132502555847,1.2757176160812378
34,35,0.33329781889915466,0.32415440678596497,1.2699097394943237
35,36,0.30224502086639404,0.35873258113861084,1.275754451751709
36,37,0.3066410720348358,0.34361523389816284,1.2773938179016113
37,38,0.32958778738975525,0.32732388377189636,1.2753719091415405
38,39,0.33885759115219116,0.3492381274700165,1.2757421731948853
39,40,0.34462225437164307,0.35731497406959534,1.275696873664856
40,41,0.3765600919723511,0.3708746135234833,1.2758152484893799
41,42,0.33247309923171997,0.36219483613967896,1.2739355564117432
42,43,0.3415539264678955,0.36627882719039917,1.2757760286331177
43,44,0.3360748291015625,0.3657037317752838,1.2733649015426636
44,45,0.3315669000148773,0.352586030960083,1.2758105993270874
45,46,0.3390824794769287,0.35099712014198303,1.2765462398529053
46,47,0.3234669864177704,0.3818477392196655,1.2496460676193237
47,48,0.30392616987228394,0.33568716049194336,1.2757147550582886
48,49,0.343161404132843,0.42620986700057983,1.275785207748413
49,50,0.327634334564209,0.3612107038497925,1.274470567703247
50,51,0.32523247599601746,0.35571083426475525,1.2757186889648438
51,52,0.2999020516872406,0.3215521574020386,1.2757240533828735
52,53,0.3126389980316162,0.37342092394828796,1.2757446765899658
53,54,0.34007829427719116,0.350493460893631,1.2756870985031128
54,55,0.3626070022583008,0.3170088827610016,1.2755955457687378
55,56,0.347470223903656,0.361861914396286,1.2757222652435303
56,57,0.3364124298095703,0.36389216780662537,1.2758207321166992
57,58,0.2904464900493622,0.3589286208152771,1.2752571105957031
58,59,0.3535406291484833,0.38401922583580017,1.2757453918457031
59,60,0.3388369679450989,0.3277997076511383,1.275557041168213
